Position Id,Total Successful Passes All,Total Unsuccessful Passes All,Total Successful Passes Excl Crosses Corners,Successful Passes Own Half,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Successful Passes Defensive third,Unsuccessful Passes Defensive third,Successful Passes Middle third,Successful Passes Final third,Successful Short Passes,Successful Long Passes,Successful Dribbles,Successful Lay-Offs,Touches,Duels won,Duels lost,Aerial Duels won,Aerial Duels lost,Ground Duels won,Ground Duels lost,Tackles Won,Tackles Lost,Total Clearances,Interceptions,Recoveries,Total Fouls Conceded,Total Fouls Won,Saves Made,Turnovers,Dispossessed,Pass Forward,Pass Backward,Touches open play final third,Touches open play opp box,Touches open play opp six yards
4,52.94117647,5.294117647,52.94117647,10.58823529,0,42.35294118,5.294117647,0,0,37.05882353,15.88235294,52.94117647,0,10.58823529,0,90,15.88235294,26.47058824,5.294117647,0,10.58823529,26.47058824,0,0,0,0,10.58823529,5.294117647,0,0,0,21.17647059,21.17647059,5.294117647,10.58823529,5.294117647,0
4,77.14285714,21.42857143,77.14285714,21.42857143,0,55.71428571,21.42857143,4.285714286,0,51.42857143,21.42857143,77.14285714,0,8.571428571,0,124.2857143,12.85714286,12.85714286,4.285714286,4.285714286,8.571428571,8.571428571,0,0,0,4.285714286,8.571428571,0,0,0,0,8.571428571,42.85714286,4.285714286,47.14285714,4.285714286,0
4,48.21428571,0,48.21428571,22.5,0,25.71428571,0,3.214285714,0,38.57142857,6.428571429,38.57142857,9.642857143,6.428571429,0,70.71428571,9.642857143,6.428571429,0,3.214285714,9.642857143,3.214285714,0,0,0,3.214285714,12.85714286,0,3.214285714,0,0,3.214285714,16.07142857,6.428571429,12.85714286,0,0
4,64.8,10.8,64.8,14.4,0,50.4,10.8,3.6,0,36,25.2,64.8,0,0,0,93.6,3.6,7.2,0,0,3.6,7.2,0,3.6,3.6,0,3.6,3.6,0,0,0,3.6,21.6,0,28.8,3.6,0
4,47.36842105,17.36842105,47.36842105,20.52631579,1.578947368,26.84210526,9.473684211,7.894736842,1.578947368,26.84210526,12.63157895,37.89473684,9.473684211,1.578947368,4.736842105,83.68421053,4.736842105,7.894736842,0,0,4.736842105,7.894736842,0,0,3.157894737,0,7.894736842,4.736842105,3.157894737,0,0,3.157894737,9.473684211,15.78947368,25.26315789,4.736842105,0
4,45,18,42,25,5,17,9,10,2,22,10,40,2,1,3,77,8,9,3,1,5,8,3,0,1,3,15,6,1,0,0,2,21,6,15,1,0
4,45.65217391,24.7826087,45.65217391,24.7826087,3.913043478,20.86956522,13.04347826,10.43478261,1.304347826,22.17391304,13.04347826,43.04347826,2.608695652,0,1.304347826,87.39130435,13.04347826,10.43478261,5.217391304,0,7.826086957,10.43478261,2.608695652,1.304347826,0,1.304347826,13.04347826,3.913043478,3.913043478,0,0,2.608695652,20.86956522,13.04347826,18.26086957,0,0
4,65,20,61,18,0,43,11,12,0,26,23,56,5,0,3,100,4,7,2,0,2,7,1,1,0,2,6,3,0,0,0,2,28,5,22,0,0
4,51,21,49,23,2,26,11,10,1,23,16,42,7,1,5,86,8,8,1,2,7,6,2,1,1,2,13,1,3,0,0,1,21,9,17,3,0
4,52.22222222,13.33333333,48.88888889,24.44444444,4.444444444,24.44444444,7.777777778,11.11111111,0,24.44444444,13.33333333,44.44444444,4.444444444,0,2.222222222,84.44444444,4.444444444,5.555555556,0,1.111111111,4.444444444,4.444444444,3.333333333,1.111111111,3.333333333,2.222222222,16.66666667,2.222222222,0,0,0,2.222222222,21.11111111,7.777777778,12.22222222,2.222222222,0
